model, data, config_name, application_name, search, restart, round, rounds, limit_s, duration_s, obj, init_time_s, solve_time_s, solutions, variables, propagators, propagations, nodes, failures, restarts, peak_depth, num_solutions
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   6,  10,    30,    31, 3445,    0,  30.00, 1118, 2451, 2891, 24503263,   142358,    16891, 1120,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   7,  10,    30,    31, 3449,    0,  30.00, 1116, 2451, 2891, 24440464,   141952,    16816, 1118,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   8,  10,    30,    31, 3519,    0,  30.00, 1067, 2451, 2891, 23375449,   135775,    16070, 1069,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   9,  10,    30,    31, 3422,    0,  30.00, 1134, 2451, 2891, 24845812,   144386,    17138, 1136,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",  10,  10,    30,    30, 3433,    0,  30.00, 1125, 2451, 2891, 24660769,   143327,    17030, 1127,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   2,  10,    30,    30, 3445,    0,  30.00, 1118, 2451, 2891, 24501818,   142350,    16889, 1120,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   1,  10,    30,    30, 3560,    0,  30.00, 1045, 2451, 2891, 22888633,   133002,    15765, 1047,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   3,  10,    30,    31, 3584,    0,  30.00, 1024, 2451, 2891, 22424953,   130289,    15429, 1026,  138,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   4,  10,    30,    31, 3469,    0,  30.00, 1101, 2451, 2891, 24112947,   140003,    16559, 1103,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   5,  10,    30,    31, 3406,    0,  30.00, 1144, 2451, 2891, 25082063,   145750,    17329, 1146,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   6,  10,    30,    30, 3394,    0,  30.00, 1156, 2451, 2891, 25351513,   147304,    17537, 1158,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   7,  10,    30,    30, 3380,    0,  30.00, 1168, 2451, 2891, 25601746,   148727,    17681, 1170,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   8,  10,    30,    30, 3453,    0,  30.00, 1112, 2451, 2891, 24368168,   141532,    16763, 1114,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   9,  10,    30,    31, 3478,    0,  30.00, 1098, 2451, 2891, 24049006,   139663,    16522, 1100,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",  10,  10,    30,    31, 3429,    0,  30.00, 1127, 2451, 2891, 24690911,   143493,    17051, 1129,  141,  1
"prepare_modded",     "prepare14", "config_searching_on_b", "application_1", "int_search(b, input_order, indomain_random)",  "restart_none",   1,   1,    30,    31, 3113,    0,  30.00,   73, 12001, 2891,  7489683,    28586,    13259,    0,  427,  1
"prepare_modded",     "prepare14", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   1,  10,   100,   101, 1080,    0, 100.00,   18, 12001, 2891, 10486750,   104836,    52141,    0,  102,  1
